
Image Name                     PID Session Name        Session#    Mem Usage
winlogon.exe                  8724 RDP-Tcp#0                  3     15,976 K
fontdrvhost.exe               3772 RDP-Tcp#0                  3     12,228 K
dwm.exe                       1308 RDP-Tcp#0                  3   1,94,360 K
rdpclip.exe                   5976 RDP-Tcp#0                  3     17,464 K
svchost.exe                   3964 RDP-Tcp#0                  3     22,592 K
svchost.exe                   8796 RDP-Tcp#0                  3     40,092 K
sihost.exe                    4196 RDP-Tcp#0                  3     36,576 K
taskhostw.exe                 6124 RDP-Tcp#0                  3     18,140 K
ShellHost.exe                 4288 RDP-Tcp#0                  3     65,980 K
explorer.exe                  5332 RDP-Tcp#0                  3   2,36,832 K
StartMenuExperienceHost.e     5040 RDP-Tcp#0                  3   1,51,088 K
SearchHost.exe                1976 RDP-Tcp#0                  3   1,33,328 K
RuntimeBroker.exe             2760 RDP-Tcp#0                  3     38,976 K
RuntimeBroker.exe             2592 RDP-Tcp#0                  3     32,892 K
svchost.exe                   8084 RDP-Tcp#0                  3     11,008 K
ShellExperienceHost.exe      10236 RDP-Tcp#0                  3   1,07,712 K
AzureArcSysTray.exe          11044 RDP-Tcp#0                  3     48,848 K
GoogleDriveFS.exe            11172 RDP-Tcp#0                  3     33,852 K
crashpad_handler.exe         11196 RDP-Tcp#0                  3      8,644 K
svchost.exe                  12792 RDP-Tcp#0                  3     16,400 K
svchost.exe                   2200 RDP-Tcp#0                  3     20,540 K
MsMpEng.exe                    616 Services                   0   5,69,392 K
MpDefenderCoreService.exe     8824 Services                   0     29,980 K
NisSrv.exe                    6324 Services                   0     15,588 K
svchost.exe                  15320 Services                   0     25,524 K
taskhostw.exe                19684 RDP-Tcp#0                  3     22,320 K
MoNotificationUx.exe         22248 RDP-Tcp#1                  2     19,484 K
ShellExperienceHost.exe      13752 RDP-Tcp#1                  2   1,10,260 K
RuntimeBroker.exe             5812 RDP-Tcp#1                  2     24,612 K
svchost.exe                  21632 RDP-Tcp#1                  2     32,680 K
svchost.exe                  19988 Services                   0     36,860 K
svchost.exe                  17980 Services                   0     10,876 K
svchost.exe                  14692 Services                   0     26,992 K
svchost.exe                  19164 Services                   0     16,244 K
GoogleDriveFS.exe            13352 RDP-Tcp#0                  3   3,66,476 K
conhost.exe                  26368 RDP-Tcp#0                  3     18,804 K
msedgewebview2.exe            5932 RDP-Tcp#0                  3   1,20,080 K
msedgewebview2.exe           27008 RDP-Tcp#0                  3     10,512 K
msedgewebview2.exe           19564 RDP-Tcp#0                  3   1,13,596 K
msedgewebview2.exe           12540 RDP-Tcp#0                  3     38,356 K
msedgewebview2.exe            5792 RDP-Tcp#0                  3     19,772 K
msedgewebview2.exe           18000 RDP-Tcp#0                  3   1,15,684 K
msedgewebview2.exe           21740 RDP-Tcp#0                  3     51,260 K
MoNotificationUx.exe         18580 RDP-Tcp#1                  2     28,232 K
svchost.exe                  22328 Services                   0      9,564 K
chrome.exe                   27560 RDP-Tcp#0                  3   3,34,904 K
chrome.exe                   11704 RDP-Tcp#0                  3     10,412 K
chrome.exe                   19732 RDP-Tcp#0                  3   1,42,340 K
chrome.exe                   24768 RDP-Tcp#0                  3     47,492 K
chrome.exe                    2312 RDP-Tcp#0                  3     21,100 K
chrome.exe                   12264 RDP-Tcp#0                  3     89,964 K
chrome.exe                   24908 RDP-Tcp#0                  3   2,41,588 K
chrome.exe                   22504 RDP-Tcp#0                  3   1,75,344 K
chrome.exe                   29552 RDP-Tcp#0                  3   1,47,480 K
chrome.exe                   10388 RDP-Tcp#0                  3     21,076 K
chrome.exe                   13980 RDP-Tcp#0                  3     49,572 K
Code.exe                     13704 RDP-Tcp#0                  3   2,44,540 K
Code.exe                     23476 RDP-Tcp#0                  3     33,076 K
Code.exe                      5816 RDP-Tcp#0                  3   2,79,688 K
Code.exe                     24380 RDP-Tcp#0                  3     50,400 K
Code.exe                      6192 RDP-Tcp#0                  3  11,06,524 K
Code.exe                     25284 RDP-Tcp#0                  3   1,27,504 K
Code.exe                     22156 RDP-Tcp#0                  3  11,29,160 K
Code.exe                     24132 RDP-Tcp#0                  3   3,28,848 K
conhost.exe                  15596 RDP-Tcp#0                  3      9,308 K
powershell.exe               28708 RDP-Tcp#0                  3     95,312 K
conhost.exe                  19476 RDP-Tcp#0                  3      9,308 K
powershell.exe               11680 RDP-Tcp#0                  3     95,400 K
conhost.exe                  28008 RDP-Tcp#0                  3      9,296 K
powershell.exe                4996 RDP-Tcp#0                  3     95,448 K
conhost.exe                   7600 RDP-Tcp#0                  3      9,288 K
powershell.exe               10892 RDP-Tcp#0                  3     95,452 K
conhost.exe                  11468 RDP-Tcp#0                  3      9,300 K
powershell.exe               18820 RDP-Tcp#0                  3     95,580 K
conhost.exe                  22844 RDP-Tcp#0                  3      9,300 K
powershell.exe               11288 RDP-Tcp#0                  3     95,624 K
conhost.exe                   5388 RDP-Tcp#0                  3      9,300 K
powershell.exe               22520 RDP-Tcp#0                  3     95,444 K
Code.exe                     12816 RDP-Tcp#0                  3   1,90,800 K
Code.exe                     19924 RDP-Tcp#0                  3  18,82,448 K
Code.exe                     12128 RDP-Tcp#0                  3   1,19,636 K
Code.exe                     11564 RDP-Tcp#0                  3   1,05,400 K
studio64.exe                 19192 RDP-Tcp#0                  3  15,30,240 K
fsnotifier.exe                8896 RDP-Tcp#0                  3      3,864 K
conhost.exe                  25244 RDP-Tcp#0                  3      7,796 K
audiodg.exe                  29384 Services                   0     29,484 K
RuntimeBroker.exe            13648 RDP-Tcp#0                  3     24,060 K
ApplicationFrameHost.exe     13284 RDP-Tcp#1                  2     44,148 K
svchost.exe                  22420 RDP-Tcp#1                  2     17,056 K
dllhost.exe                  14648 RDP-Tcp#1                  2     18,204 K
chrome.exe                   13516 RDP-Tcp#1                  2   3,38,104 K
chrome.exe                   30692 RDP-Tcp#1                  2     10,560 K
chrome.exe                   32004 RDP-Tcp#1                  2   4,77,620 K
chrome.exe                   34364 RDP-Tcp#1                  2     52,684 K
chrome.exe                    7856 RDP-Tcp#1                  2     24,200 K
chrome.exe                   31660 RDP-Tcp#1                  2     86,672 K
chrome.exe                   14808 RDP-Tcp#1                  2   1,02,944 K
chrome.exe                    6196 RDP-Tcp#1                  2   2,04,032 K
chrome.exe                   13596 RDP-Tcp#1                  2     21,172 K
chrome.exe                   15164 RDP-Tcp#1                  2     50,292 K
chrome.exe                   22204 RDP-Tcp#1                  2   1,09,708 K
chrome.exe                   17176 RDP-Tcp#1                  2   1,41,504 K
chrome.exe                   34772 RDP-Tcp#1                  2   4,81,928 K
chrome.exe                   14788 RDP-Tcp#1                  2   1,10,172 K
chrome.exe                   32056 RDP-Tcp#1                  2     73,180 K
svchost.exe                  25264 Services                   0     28,356 K
chrome.exe                    5160 RDP-Tcp#1                  2   1,55,172 K
Telegram.exe                 26808 RDP-Tcp#0                  3   4,74,672 K
ApplicationFrameHost.exe     26320 RDP-Tcp#0                  3     42,972 K
svchost.exe                  30132 RDP-Tcp#0                  3     17,020 K
